CUPOM;DATA;PLACA;POSTO;KM ATUAL;KM FINAL;DESCRIÇÃO DO ABASTECIMENTO;CONSUMO;DESCONTO;VALOR UNIT;CUSTO TOTAL;C/ DESC;KM Rodados ;KM/Litro;;;;;;;;;;;;
218788;10/01/2023;OQG 0668;ULTRAMARINO;907982;;DIESEL;440,79;44,08;6,36;2759,34;R$ 6,26;684119,00;1552,03;;;;;;;;;;;;
506035;10/01/2023;QUM 8566;COMBO AUTO POSTO;123251;;GASOLINA;51,34;;5,22;267,99;R$ 5,22;;;;;;;;;;;;;;
261287;10/01/2023;RMF 8H75;POSTO ZÉ RAMOS;116079;;GASOLINA;24,20;;4,99;R$ 120,76;R$ 4,99;-7172,00;-296,36;;;;;;;;;;;;
Ajuste M.;10/01/2023;;;582971;;DIESEL;107,60;;;R$ 0,00;R$ 0,00;-323587,00;-3007,31;;;;;;;;;;;;
Ajuste M.;10/01/2023;;;583443;;DIESEL;106,89;;;R$ 0,00;R$ 0,00;472,00;4,42;;;;;;;;;;;;
345754;11/01/2023;AXS 9G25;DOM PEDRO ALIANÇA;852578;;DIESEL;369,02;;6,09;2247,30;R$ 6,09;755899,00;2048,42;;;;;;;;;;;;
Ajuste M.;11/01/2023;FZG 4F66;;364862;;DIESEL;38,11;;;R$ 0,00;R$ 0,00;-283624,00;-7442,25;;;;;;;;;;;;
219082;11/01/2023;GGN 2B61;ULTRAMARINO;76223;;DIESEL;334,63;33,46;6,36;2094,79;R$ 6,26;1025,00;3,06;;;;;;;;;;;;
156788;11/01/2023;HGJ 5319;TATITA FERNÃO DIAS;121154;;DIESEL;143,09;;6,29;R$ 900,04;R$ 6,29;;;;;;;;;;;;;;
585188;11/01/2023;HGJ 5319;GAVIÃO DA ANHANGUERA;121723;;DIESEL;133,78;;6,40;R$ 856,20;R$ 6,40;-243139,00;-1817,43;;;;;;;;;;;;
274191;11/01/2023;HOB 1G50;BEIRA MINHO;642734;;DIESEL;165,51;49,65;6,89;R$ 1.090,71;R$ 6,59;441493,00;2667,47;;;;;;;;;;;;
547402;12/01/2023;CPN 1798;DOM PEDRO POUSO ALEGRE;584439;;DIESEL;139,04;;6,09;846,75;R$ 6,09;-64047,00;-460,64;;;;;;;;;;;;
156961;12/01/2023;FHI 8909;TATITA FERNÃO DIAS;314406;;DIESEL;99,06;;6,29;R$ 623,09;R$ 6,29;89950,00;908,04;;;;;;;;;;;;
274974;12/01/2023;FJV 3D37;BEIRA MINHO;76107;;ARLA;22,30;;4,99;111,29;R$ 4,99;;;;;;;;;;;;;;
Ajuste M.;12/01/2023;FZG 4F66;;365172;;DIESEL;39,63;;;R$ 0,00;R$ 0,00;289065,00;7294,10;;;;;;;;;;;;
261835;12/01/2023;FZG 4F66;POSTO ZÉ RAMOS;365489;;DIESEL;40,27;;6,39;R$ 257,33;R$ 6,39;317,00;7,87;;;;;;;;;;;;
274888;12/01/2023;OOY 7286;BEIRA MINHO;382916;;DIESEL;36,25;10,87;6,89;238,89;R$ 6,59;;;;;;;;;;;;;;
156939;12/01/2023;PZA 3995;TATITA FERNÃO DIAS;278891;;GASOLINA;44,86;;4,99;R$ 223,85;R$ 4,99;;;;;;;;;;;;;;
506406;12/01/2023;PZE 8689;COMBO AUTO POSTO;288696;;DIESEL;89,00;;6,40;569,60;R$ 6,40;213498,00;2398,85;;;;;;;;;;;;
