CUPOM;DATA;PLACA;POSTO;KM ATUAL;KM FINAL;DESCRIÇÃO DO ABASTECIMENTO;CONSUMO;DESCONTO;VALOR UNIT;CUSTO TOTAL;C/ DESC;KM Rodados ;KM/Litro;;;;;;;;;;;;
6387;26/07/2023;RUJ 4I21;REDETUKAS;66553;DIESEL;DIESEL;30;;4,45;133,50;R$ 4,45;-81990,00;-2733,00;;;;;;;;;;;;
6387;27/07/2023;AXS 9G25;REDETUKAS;902571;DIESEL;DIESEL;440;;4,45;1958,00;R$ 4,45;766084,00;1741,10;;;;;;;;;;;;
Ajuste M.;27/07/2023;BPQ 3I53;;137789;;DIESEL;42;;;R$ 0,00;4,45;-266781,00;-6351,93;;;;;;;;;;;;
426704;27/07/2023;CPN 2A40;BEIRA MINHO;368546;DIESEL;DIESEL;68,97;;5,19;R$ 357,95;R$ 5,19;-119724,00;-1735,89;;;;;;;;;;;;
6387;27/07/2023;EWJ 1D79;REDETUKAS;673060;DIESEL;DIESEL;109;;4,45;R$ 485,05;4,45;568603,00;5216,54;;;;;;;;;;;;
6387;27/07/2023;FZG 4F66;REDETUKAS;405009;DIESEL;DIESEL;45;;4,45;200,25;R$ 4,45;267220,00;5938,22;;;;;;;;;;;;
6387;27/07/2023;GWI 4D64;REDETUKAS;84555;DIESEL;DIESEL;131;;4,45;582,95;R$ 4,45;-177198,00;-1352,66;;;;;;;;;;;;
6387;27/07/2023;HOB 1G50;REDETUKAS;668516;DIESEL;DIESEL;183;;4,45;R$ 814,35;R$ 4,45;-4120,00;-22,51;;;;;;;;;;;;
6387;27/07/2023;PVD 2450;REDETUKAS;637202;DIESEL;DIESEL;83;;4,45;369,35;R$ 4,45;523199,00;6303,60;;;;;;;;;;;;
6387;27/07/2023;QMQ 5351;REDETUKAS;361097;DIESEL;DIESEL;173,00;;4,45;769,85;R$ 4,45;224610,00;1298,32;;;;;;;;;;;;
Ajuste M.;27/07/2023;QPA 8450;;318156;;DIESEL;29,00;;;R$ 0,00;R$ 0,00;-401309,00;-13838,24;;;;;;;;;;;;
Ajuste M.;27/07/2023;RUJ 4I21;;66757;;DIESEL;26,30;;;R$ 0,00;R$ 0,00;-570044,00;-21674,68;;;;;;;;;;;;
6387;28/07/2023;BPQ 3I53;REDETUKAS;138056;DIESEL;DIESEL;34;;4,45;R$ 151,30;4,45;-764515,00;-22485,74;;;;;;;;;;;;
197382;28/07/2023;EZT 5167;TATITA FERNÃO DIAS;226112;GASOLINA;GASOLINA;25,75;;5,39;138,79;R$ 5,39;88056,00;3419,65;;;;;;;;;;;;
197356;28/07/2023;FZG 4F66;TATITA FERNÃO DIAS;405140;DIESEL;DIESEL;22,359;;4,79;107,10;R$ 4,79;267351,00;11957,20;;;;;;;;;;;;
6387;28/07/2023;HGJ 5319;REDETUKAS;149064;DIESEL;DIESEL;117;;4,45;R$ 520,65;R$ 4,45;-486768,00;-4160,41;;;;;;;;;;;;
729235;28/07/2023;PVD 2450;AUTO POSTO RVM MAX;637879;DIESEL;DIESEL;133,669;;4,99;667,01;R$ 4,99;677,00;5,06;;;;;;;;;;;;
6387;28/07/2023;PZE 8684;REDETUKAS;376457;DIESEL;DIESEL;96;;4,45;R$ 427,20;R$ 4,45;-343008,00;-3573,00;;;;;;;;;;;;
Ajuste M.;28/07/2023;QMQ 5351;;362099;;DIESEL;203,00;;;R$ 0,00;R$ 0,00;-13795,00;-67,96;;;;;;;;;;;;
6387;28/07/2023;QPA 8450;REDETUKAS;318336;DIESEL;DIESEL;34,00;;4,45;151,30;R$ 4,45;-318866,00;-9378,41;;;;;;;;;;;;
552588;28/07/2023;QQM 5087;COMBO AUTO POSTO;262378;DIESEL;DIESEL;85,401;;5,32;R$ 454,33;R$ 5,32;-142312,00;-1666,40;;;;;;;;;;;;
Ajuste M.;29/07/2023;QWS 8608;;236810;;DIESEL;99,00;;;R$ 0,00;R$ 0,00;19821,00;200,21;;;;;;;;;;;;
Ajuste M.;29/07/2023;RMF 8H75;;152168;;GASOLINA;40,86;;;R$ 0,00;R$ 0,00;-84642,00;-2071,51;;;;;;;;;;;;
Ajuste M.;29/07/2023;RUJ 4I21;;67255;;DIESEL;58,60;;;R$ 0,00;R$ 0,00;-250901,00;-4281,59;;;;;;;;;;;;
Ajuste M.;30/07/2023;NYF 1166;;720251;;DIESEL;207,30;;;R$ 0,00;R$ 0,00;786,00;3,79;;;;;;;;;;;;
317983;30/07/2023;PZA 3995;POSTO ZÉ RAMOS;288068;GASOLINA;GASOLINA;20,54;;5,49;R$ 112,76;R$ 5,49;;Hiato;;;;;;;;;;;;
Ajuste M.;30/07/2023;QMQ 5351;;363104;;DIESEL;209,00;;;R$ 0,00;R$ 0,00;210936,00;1009,26;;;;;;;;;;;;
6387;31/07/2023;CMR 5893;REDETUKAS;875663;DIESEL;DIESEL;25;;4,45;R$ 111,25;R$ 4,45;740448,00;29617,92;;;;;;;;;;;;
6387;31/07/2023;EBO 0I79;REDETUKAS;489908;DIESEL;DIESEL;315;;4,45;R$ 1.401,75;4,45;85792,00;272,36;;;;;;;;;;;;
6387;31/07/2023;EWJ 1D79;REDETUKAS;673506;DIESEL;DIESEL;130;;4,45;R$ 578,50;4,45;37116,00;285,51;;;;;;;;;;;;
581452;31/07/2023;FMZ 8I54;POSTO ITASUL;217736;DIESEL;DIESEL;356,26;;4,79;1706,49;R$ 4,79;-417746,00;-1172,59;;;;;;;;;;;;
6387;31/07/2023;FZG 4F66;REDETUKAS;405613;DIESEL;DIESEL;53;;4,45;235,85;R$ 4,45;44516,00;839,92;;;;;;;;;;;;
6387;31/07/2023;FZG 5A23;REDETUKAS;131309;DIESEL;DIESEL;137,00;;4,45;R$ 609,65;R$ 4,45;-5478,00;-39,99;;;;;;;;;;;;
6387;31/07/2023;HOB 1G50;REDETUKAS;668931;DIESEL;DIESEL;93;;4,45;R$ 413,85;R$ 4,45;293037,00;3150,94;;;;;;;;;;;;
6387;31/07/2023;OQG 0668;;950587;DIESEL;DIESEL;293;;4,45;R$ 1.303,85;R$ 4,45;314197,00;1072,34;;;;;;;;;;;;
6387;31/07/2023;PVD 2450;REDETUKAS;638080;;DIESEL;46,00;;;R$ 0,00;R$ 0,00;275981,00;5999,59;;;;;;;;;;;;
706710;31/07/2023;PVD 2450;GAVIÃO DA ANHANGUERA;638586;DIESEL;DIESEL;94,791;;4,99;473,01;R$ 4,99;506,00;5,34;;;;;;;;;;;;
Ajuste M.;31/07/2023;PZA 3995;;288618;;GASOLINA;37,00;;;R$ 0,00;R$ 0,00;196281,00;5304,89;;;;;;;;;;;;
553242;31/07/2023;QNU 5805;COMBO AUTO POSTO;321775;DIESEL;DIESEL;65,081;;5,32;346,23;R$ 5,32;187074,00;2874,48;;;;;;;;;;;;
Ajuste M.;31/07/2023;QWS 8608;;237489;;DIESEL;142,00;;;R$ 0,00;R$ 0,00;-482762,00;-3399,73;;;;;;;;;;;;
Ajuste M.;31/07/2023;QWS 8608;;238254;;DIESEL;155,00;;;R$ 0,00;R$ 0,00;765,00;4,94;;;;;;;;;;;;
6506;01/08/2023;AXS 9G25;REDETUKAS;903431;DIESEL;DIESEL;353;;4,45;1570,85;R$ 4,45;267041,00;756,49;;;;;;;;;;;;
6387;01/08/2023;BPQ 3I53;REDETUKAS;138174;DIESEL;DIESEL;14;;4,45;R$ 62,30;4,45;-266966,00;-19069,00;;;;;;;;;;;;
6506;01/08/2023;CMR 5893;REDETUKAS;875678;DIESEL;DIESEL;4,6;;4,45;R$ 20,47;R$ 4,45;202172,00;43950,43;;;;;;;;;;;;
6387;01/08/2023;FHI 8909;REDETUKAS;331746;DIESEL;DIESEL;127;;4,45;R$ 565,15;4,45;-72824,00;-573,42;;;;;;;;;;;;
6387;01/08/2023;FJV 3D37;REDETUKAS;95126;DIESEL;DIESEL;86,00;;4,45;R$ 382,70;4,45;-53120,00;-617,67;;;;;;;;;;;;
5838;01/08/2023;FMZ 8I54;POSTO BCA MARIALVA;218198;DIESEL;DIESEL;200;;4,79;958,00;R$ 4,79;-450733,00;-2253,67;;;;;;;;;;;;
318296;01/08/2023;FSR 0H16;POSTO ZÉ RAMOS;105047;GASOLINA;GASOLINA;41,46;;5,49;R$ 227,62;R$ 5,49;-113151,00;-2729,09;;;;;;;;;;;;
Ajuste M.;01/08/2023;FZG 4F66;;405893;;DIESEL;38,50;;;R$ 0,00;R$ 0,00;188157,00;4887,19;;;;;;;;;;;;
6387;01/08/2023;GWI 4D64;REDETUKAS;85062;DIESEL;DIESEL;153;;4,45;680,85;R$ 4,45;-52994,00;-346,37;;;;;;;;;;;;
6387;01/08/2023;HGJ 5319;REDETUKAS;149378;DIESEL;DIESEL;82;;4,45;R$ 364,90;R$ 4,45;82123,00;1001,50;;;;;;;;;;;;
6506;01/08/2023;OQD 1416;REDETUKAS;1033816;DIESEL;DIESEL;45;;4,45;200,25;R$ 4,45;896331,00;19918,47;;;;;;;;;;;;
6387;01/08/2023;PZE 8684;REDETUKAS;376897;DIESEL;DIESEL;81;;4,45;R$ 360,45;R$ 4,45;224729,00;2774,43;;;;;;;;;;;;
6387;01/08/2023;QPA 8450;REDETUKAS;319176;DIESEL;DIESEL;157,00;;4,45;698,65;R$ 4,45;-170732,00;-1087,46;;;;;;;;;;;;
6506;01/08/2023;QQM 5087;REDETUKAS;262929;DIESEL;DIESEL;66;;4,45;R$ 293,70;R$ 4,45;-142211,00;-2154,71;;;;;;;;;;;;
6506;02/08/2023;BPQ 3I53;REDETUKAS;138303;DIESEL;DIESEL;17;;4,45;R$ 75,65;4,45;-79433,00;-4672,53;;;;;;;;;;;;
6506;02/08/2023;CPN 1798;REDETUKAS;613056;DIESEL;DIESEL;108,9;;4,45;R$ 484,61;R$ 4,45;297414,00;2731,07;;;;;;;;;;;;
2311;02/08/2023;CPN 2A40;BEIRA MINHO;368764;DIESEL;DIESEL;38,03;;5,09;R$ 193,57;R$ 5,09;50736,00;1334,10;;;;;;;;;;;;
6506;02/08/2023;EWJ 1D79;REDETUKAS;673934;DIESEL;DIESEL;103;;4,45;R$ 458,35;4,45;606679,00;5890,09;;;;;;;;;;;;
Ajuste M.;02/08/2023;EZT 5167;;226489;;GASOLINA;35,45;;;R$ 0,00;R$ 0,00;-492348,00;-13888,52;;;;;;;;;;;;
6506;02/08/2023;GGN 2B61;REDETUKAS;115580;DIESEL;DIESEL;472;;4,45;2100,40;R$ 4,45;-184936,00;-391,81;;;;;;;;;;;;
6506;02/08/2023;HOB 1G50;REDETUKAS;669494;DIESEL;DIESEL;117;;4,45;R$ 520,65;R$ 4,45;538185,00;4599,87;;;;;;;;;;;;
6506;02/08/2023;NYF 1166;REDETUKAS;720674;DIESEL;DIESEL;120;;4,45;534,00;R$ 4,45;358575,00;2988,13;;;;;;;;;;;;
2441;02/08/2023;OOY 7286;BEIRA MINHO;397377;DIESEL;DIESEL;95,68;;5,09;487,01;R$ 5,09;181266,00;1894,50;;;;;;;;;;;;
703079;02/08/2023;PVD 2450;GAVIÃO DA ANHANGUERA;639487;DIESEL;DIESEL;113,013;;4,99;563,93;R$ 4,99;-34019,00;-301,02;;;;;;;;;;;;
6506;02/08/2023;PVD 2450;REDETUKAS;639872;DIESEL;DIESEL;85;;4,45;378,25;R$ 4,45;385,00;4,53;;;;;;;;;;;;
6506;02/08/2023;RUJ 4I21;REDETUKAS;67842;DIESEL;DIESEL;71;;4,45;315,95;R$ 4,45;-294257,00;-4144,46;;;;;;;;;;;;
38977;03/08/2023;BPQ 3I53;FRANGO ASSADO ATIBAIA;138605;DIESEL;DIESEL;47,07;;5,29;R$ 249,00;5,29;-500882,00;-10641,22;;;;;;;;;;;;
6506;03/08/2023;EBO 0I79;REDETUKAS;490499;DIESEL;DIESEL;201;;4,45;R$ 894,45;4,45;114042,00;567,37;;;;;;;;;;;;
6506;03/08/2023;FZG 4F66;REDETUKAS;406270;DIESEL;DIESEL;51;;4,45;226,95;R$ 4,45;188072,00;3687,69;;;;;;;;;;;;
6506;03/08/2023;FZG 5A23;REDETUKAS;132024;DIESEL;DIESEL;147,00;;4,45;R$ 654,15;R$ 4,45;-588227,00;-4001,54;;;;;;;;;;;;
6506;03/08/2023;HGJ 5319;REDETUKAS;149862;DIESEL;DIESEL;108;;4,45;R$ 480,60;R$ 4,45;-753569,00;-6977,49;;;;;;;;;;;;
6506;03/08/2023;QMQ 5351;REDETUKAS;363897;DIESEL;DIESEL;158,00;;4,45;703,10;R$ 4,45;-12560,00;-79,49;;;;;;;;;;;;
6506;03/08/2023;QPA 8450;REDETUKAS;319562;DIESEL;DIESEL;75,00;;4,45;333,75;R$ 4,45;-583869,00;-7784,92;;;;;;;;;;;;
6506;03/08/2023;QWS 8608;REDETUKAS;238448;DIESEL;DIESEL;40;;4,45;178,00;R$ 4,45;-399632,00;-9990,80;;;;;;;;;;;;
6506;04/08/2023;BPQ 3I53;REDETUKAS;138895;DIESEL;DIESEL;36,1;;4,45;R$ 160,65;4,45;23315,00;645,84;;;;;;;;;;;;
6506;04/08/2023;EWJ 1D79;REDETUKAS;674372;DIESEL;DIESEL;107;;4,45;R$ 476,15;4,45;61316,00;573,05;;;;;;;;;;;;
6506;04/08/2023;FHI 8909;REDETUKAS;332232;DIESEL;DIESEL;124;;4,45;R$ 551,80;4,45;-305848,00;-2466,52;;;;;;;;;;;;
6506;04/08/2023;FJV 3D37;REDETUKAS;95836;DIESEL;DIESEL;116,00;;4,45;R$ 516,20;4,45;-192782,00;-1661,91;;;;;;;;;;;;
319196;04/08/2023;FSR 0H16;POSTO ZÉ RAMOS;105428;GASOLINA;GASOLINA;31,00;;5,49;R$ 170,19;R$ 5,49;381,00;12,29;;;;;;;;;;;;
Ajuste M.;04/08/2023;FZG 4F66;;406689;;DIESEL;50,00;;;R$ 0,00;R$ 0,00;-206367,00;-4127,34;;;;;;;;;;;;
43111;04/08/2023;GWI 4D64;BEIRA MINHO;85775;DIESEL;DIESEL;212,51;;5,09;1081,68;R$ 5,09;-131961,00;-620,96;;;;;;;;;;;;
6506;04/08/2023;NYF 1166;REDETUKAS;721018;DIESEL;DIESEL;97;;4,45;431,65;R$ 4,45;605438,00;6241,63;;;;;;;;;;;;
4122;04/08/2023;OQK 6717;BEIRA MINHO;318028;DIESEL;DIESEL;85,24;;5,09;433,87;R$ 5,09;169782,00;1991,81;;;;;;;;;;;;
6506;04/08/2023;PVD 2450;REDETUKAS;639891;DIESEL;DIESEL;103;;4,45;458,35;R$ 4,45;26835,00;260,53;;;;;;;;;;;;
6506;04/08/2023;PZE 8684;REDETUKAS;377201;DIESEL;DIESEL;51;;4,45;R$ 226,95;R$ 4,45;138947,00;2724,45;;;;;;;;;;;;
554503;04/08/2023;PZE 8689;COMBO AUTO POSTO;301113;DIESEL;DIESEL;122,181;;5,32;R$ 650,37;R$ 5,32;152570,00;1248,72;;;;;;;;;;;;
6506;04/08/2023;QQM 5087;REDETUKAS;263546;DIESEL;DIESEL;77;;4,45;R$ 342,65;R$ 4,45;-113351,00;-1472,09;;;;;;;;;;;;
Ajuste M.;04/08/2023;RMF 8H75;;152647;;GASOLINA;39,63;;;R$ 0,00;R$ 0,00;-110899,00;-2798,36;;;;;;;;;;;;
6506;04/08/2023;RUJ 4I21;REDETUKAS;68209;DIESEL;DIESEL;43;;4,45;191,35;R$ 4,45;-422290,00;-9820,70;;;;;;;;;;;;
319456;05/08/2023;EBO 0I79;POSTO ZÉ RAMOS;;ARLA;ARLA;43,00;;3,69;R$ 158,67;R$ 3,69;;;;;;;;;;;;;;
Ajuste M.;05/08/2023;FZG 4F66;;406670;;DIESEL;48,50;;;R$ 0,00;R$ 0,00;-232817,00;-4800,35;;;;;;;;;;;;
Ajuste M.;05/08/2023;HOB 1G50;;669993;;DIESEL;109,00;;;R$ 0,00;R$ 0,00;-50681,00;-464,96;;;;;;;;;;;;
Ajuste M.;06/08/2023;CPN 2A40;;369105;;DIESEL;55,00;;;R$ 0,00;R$ 0,00;230802,00;4196,4;;;;;;;;;;;;
Ajuste M.;06/08/2023;FSR 0H16;;105954;;GASOLINA;44,52;;;R$ 0,00;R$ 0,00;-213222,00;-4789,35;;;;;;;;;;;;
348429;06/08/2023;FZG 4F66;RODO POSTO ESTIVA;406977;DIESEL;DIESEL;36;;4,77;171,72;R$ 4,77;301023,00;8361,75;;;;;;;;;;;;
Ajuste M.;06/08/2023;OQD 1416;;1035398;;DIESEL;510,00;;;R$ 0,00;R$ 0,00;131967,00;258,76;;;;;;;;;;;;
Ajuste M.;06/08/2023;QQM 5087;;264050;;DIESEL;65,30;;;R$ 0,00;R$ 0,00;-142639,00;-2184,36;;;;;;;;;;;;
199540;07/08/2023;BPQ 3I53;TATITA FERNÃO DIAS;138978;DIESEL;DIESEL;13,82;;4,79;R$ 66,20;4,79;-179050,00;-12955,86;;;;;;;;;;;;
6506;07/08/2023;BPQ 3I53;REDETUKAS;139325;DIESEL;DIESEL;43;;4,45;R$ 191,35;4,45;-530668,00;-12341,12;;;;;;;;;;;;
199600;07/08/2023;FMZ 8I54;TATITA FERNÃO DIAS;219418;DIESEL;DIESEL;547;;4,79;2620,13;R$ 4,79;-418662,00;-765,38;;;;;;;;;;;;
Ajuste M.;07/08/2023;FZG 4F66;;407327;;DIESEL;42,50;;;R$ 0,00;R$ 0,00;187909,00;4421,39;;;;;;;;;;;;
503299;07/08/2023;FZG 4F66;POSTO ABOLICAO;407795;DIESEL;DIESEL;63,603;;4,89;311,02;R$ 4,89;-627603,00;-9867,51;;;;;;;;;;;;
320157;07/08/2023;GGN 2B61;POSTO ZÉ RAMOS;116504;ARLA;ARLA;75,11;;3,69;R$ 277,14;R$ 3,69;;;;;;;;;;;;;;
6506;07/08/2023;HOB 1G50;REDETUKAS;670384;DIESEL;DIESEL;83;;4,45;R$ 369,35;R$ 4,45;263714,00;3177,28;;;;;;;;;;;;
6506;07/08/2023;NYF 1166;REDETUKAS;721383;DIESEL;DIESEL;86;;4,45;382,70;R$ 4,45;365,00;4,24;;;;;;;;;;;;
6506;07/08/2023;OQG 0668;REDETUKAS;952164;DIESEL;DIESEL;550;;4,45;R$ 2.447,50;R$ 4,45;734428,00;1335,32;;;;;;;;;;;;
6506;07/08/2023;QMQ 5351;REDETUKAS;364283;DIESEL;DIESEL;92,00;;4,45;409,40;R$ 4,45;258855,00;2813,64;;;;;;;;;;;;
6506;07/08/2023;QPA 8450;REDETUKAS;320012;DIESEL;DIESEL;96,00;;4,45;427,20;R$ 4,45;81564,00;849,63;;;;;;;;;;;;
6506;07/08/2023;RUJ 4I21;REDETUKAS;68665;DIESEL;DIESEL;58;;4,45;258,10;R$ 4,45;-83982,00;-1447,97;;;;;;;;;;;;
320088;07/08/2023;RUJ 4I21;POSTO ZÉ RAMOS;68670;ARLA;ARLA;8,53;;3,69;R$ 31,49;R$ 3,69;;;;;;;;;;;;;;
Ajuste M.;08/08/2023;BPQ 3I53;;139571;;DIESEL;28;;;R$ 0,00;0,00;139571,00;4984,68;;;;;;;;;;;;
7295;08/08/2023;CPN 2A40;BEIRA MINHO;369411;DIESEL;DIESEL;62,27;;5,09;R$ 316,95;R$ 5,09;-665987,00;-10695,15;;;;;;;;;;;;
6506;08/08/2023;EBO 0I79;REDETUKAS;491336;DIESEL;DIESEL;322;;4,45;R$ 1.432,90;4,45;171774,00;533,46;;;;;;;;;;;;
6605;08/08/2023;EWJ 1D79;REDETUKAS;674687;DIESEL;DIESEL;80;;4,52;R$ 361,60;0,00;569259,00;7115,74;;;;;;;;;;;;
320423;08/08/2023;EWJ 1D79;POSTO ZÉ RAMOS;;ARLA;ARLA;10,01;;3,69;R$ 36,93;R$ 3,69;;;;;;;;;;;;;;
6605;08/08/2023;FHI 8909;REDETUKAS;332476;DIESEL;DIESEL;58;;4,52;R$ 262,16;0,00;193581,00;3337,60;;;;;;;;;;;;
6605;08/08/2023;FJV 3D37;REDETUKAS;96217;DIESEL;DIESEL;70,00;;4,52;R$ 316,40;0,00;-142231,00;-2031,87;;;;;;;;;;;;
6605;08/08/2023;FMZ 8I54;REDETUKAS;219730;DIESEL;DIESEL;120;;4,52;542,40;R$ 4,52;-187247,00;-1560,39;;;;;;;;;;;;
320443;08/08/2023;FSR 0H16;POSTO ZÉ RAMOS;106505;GASOLINA;GASOLINA;48,85;;5,49;R$ 268,19;R$ 5,49;-113225,00;-2317,76;;;;;;;;;;;;
6605;08/08/2023;FZG 4F66;REDETUKAS;407954;DIESEL;DIESEL;24;;4,52;108,48;R$ 4,52;291450,00;12143,75;;;;;;;;;;;;
6605;08/08/2023;FZG 5A23;REDETUKAS;132783;DIESEL;DIESEL;160,00;;4,52;R$ 723,20;R$ 4,52;-105665,00;-660,41;;;;;;;;;;;;
7478;08/08/2023;GWI 4D64;BEIRA MINHO;86345;DIESEL;DIESEL;163,92;;5,09;834,35;R$ 5,09;-320632,00;-1956,03;;;;;;;;;;;;
6605;08/08/2023;HGJ 5319;REDETUKAS;150321;DIESEL;DIESEL;103;;4,52;R$ 465,56;R$ 4,52;18297,00;177,64;;;;;;;;;;;;
7273;08/08/2023;OOY 7286;BEIRA MINHO;397823;DIESEL;DIESEL;92,69;;5,09;471,79;R$ 5,09;301987,00;3258,03;;;;;;;;;;;;
6605;08/08/2023;PZE 8684;REDETUKAS;377613;DIESEL;DIESEL;66;;4,52;R$ 298,32;R$ 4,52;309404,00;4687,94;;;;;;;;;;;;
555461;08/08/2023;QNU 5805;COMBO AUTO POSTO;322971;DIESEL;DIESEL;72,071;;5,09;366,84;R$ 5,09;184797,00;2564,10;;;;;;;;;;;;
Ajuste M.;08/08/2023;QPA 8450;;320452;;DIESEL;115,00;;;R$ 0,00;R$ 0,00;-349932,00;-3042,89;;;;;;;;;;;;
6605;08/08/2023;QQM 5087;REDETUKAS;264575;DIESEL;DIESEL;63;;4,52;R$ 284,76;R$ 4,52;125250,00;1988,10;;;;;;;;;;;;
6506;08/08/2023;QWS 8608;REDETUKAS;238815;DIESEL;DIESEL;80;;4,45;356,00;R$ 4,45;-167855,00;-2098,19;;;;;;;;;;;;
6605;09/08/2023;AXS 9G25;REDETUKAS;904520;DIESEL;DIESEL;395;;4,52;1785,40;R$ 4,52;766346,00;1940,12;;;;;;;;;;;;
6605;09/08/2023;BPQ 3I53;REDETUKAS;139869;DIESEL;DIESEL;33;;4,52;R$ 149,16;0,00;53524,00;1621,94;;;;;;;;;;;;
Ajuste M.;09/08/2023;EWJ 1D79;;675088;;DIESEL;102,00;;;R$ 0,00;R$ 0,00;-46295,00;-453,87;;;;;;;;;;;;
320608;09/08/2023;EZT 5167;POSTO ZÉ RAMOS;226868;GASOLINA;GASOLINA;36,63;;5,49;201,10;R$ 5,49;-448220,00;-12236,42;;;;;;;;;;;;
6605;09/08/2023;FZG 4F66;REDETUKAS;408073;;DIESEL;15;;4,52;R$ 67,80;R$ 4,52;257752,00;17183,47;;;;;;;;;;;;
875603;09/08/2023;FZG 4F66;BEIRA MINHO;408497;DIESEL;DIESEL;54,97;;5,09;279,80;R$ 5,09;543,00;9,88;;;;;;;;;;;;
6605;09/08/2023;HOB 1G50;REDETUKAS;670797;DIESEL;DIESEL;84;;4,52;R$ 379,68;R$ 4,52;406747,00;4842,23;;;;;;;;;;;;
6605;09/08/2023;NYF 1166;REDETUKAS;721821;DIESEL;DIESEL;117;;4,52;528,84;R$ 4,52;401809,00;3434,26;;;;;;;;;;;;
585516;09/08/2023;OQD 1416;POSTO ITASUL;1036780;DIESEL;DIESEL;500,18;;4,89;2445,88;R$ 4,89;366396,00;732,53;;;;;;;;;;;;
6605;09/08/2023;PVD 2450;REDETUKAS;640244;DIESEL;DIESEL;94;;4,52;424,88;R$ 4,52;376698,00;4007,43;;;;;;;;;;;;
6605;09/08/2023;QMQ 5351;REDETUKAS;364902;DIESEL;DIESEL;96,00;;4,52;433,92;R$ 4,52;-305482,00;-3182,10;;;;;;;;;;;;
6605;09/08/2023;QPA 8450;REDETUKAS;320902;DIESEL;DIESEL;116,00;;4,52;524,32;R$ 4,52;181033,00;1560,63;;;;;;;;;;;;
6605;09/08/2023;QQM 5087;REDETUKAS;264971;DIESEL;DIESEL;62;;4,52;R$ 280,24;R$ 4,52;-58000,00;-935,48;;;;;;;;;;;;
6605;09/08/2023;QWS 8608;REDETUKAS;238829;DIESEL;DIESEL;6;;4,52;27,12;R$ 4,52;132324,00;22054,00;;;;;;;;;;;;
6605;09/08/2023;RUJ 4I21;REDETUKAS;69245;DIESEL;DIESEL;69;;4,52;311,88;R$ 4,52;575,00;8,33;;;;;;;;;;;;
Ajuste M.;10/08/2023;FSR 0H16;;106951;;GASOLINA;41,25;;;R$ 0,00;R$ 0,00;997,00;24,17;;;;;;;;;;;;
6605;10/08/2023;FZG 4F66;REDETUKAS;408668;DIESEL;DIESEL;23;;4,52;103,96;R$ 4,52;88216,00;3835,48;;;;;;;;;;;;
162017;10/08/2023;FZG 5A23;POSTO SCARIOT;133624;DIESEL;DIESEL;183,00;225,09;6,42;R$ 949,77;R$ 5,19;-274330,00;-1499,07;;;;;;;;;;;;
6605;10/08/2023;GGN 2B61;REDETUKAS;117125;DIESEL;DIESEL;471;;4,52;2128,92;R$ 4,52;49283,00;104,63;;;;;;;;;;;;
875603;10/08/2023;GWI 4D64;BEIRA MINHO;86921;DIESEL;DIESEL;161,98;;5,09;824,48;R$ 5,09;-587766,00;-3628,63;;;;;;;;;;;;
713171;10/08/2023;PVD 2450;GAVIÃO DA ANHANGUERA;640803;DIESEL;DIESEL;135,283;;5,09;688,59;R$ 5,09;401974,00;2971,36;;;;;;;;;;;;
Ajuste M.;10/08/2023;PZA 3995;;289231;;GASOLINA;39,00;;;R$ 0,00;R$ 0,00;-351572,00;-9014,67;;;;;;;;;;;;
6605;10/08/2023;QWS 8608;REDETUKAS;239179;DIESEL;DIESEL;73;;4,52;329,96;R$ 4,52;-431618,00;-5912,58;;;;;;;;;;;;
Ajuste M.;10/08/2023;RMF 8H75;;153120;;GASOLINA;38,52;;;R$ 0,00;R$ 0,00;-86059,00;-2234,14;;;;;;;;;;;;
6605;11/08/2023;AXS 9G25;REDETUKAS;905295;DIESEL;DIESEL;307;;4,52;1387,64;R$ 4,52;678427,00;2209,86;;;;;;;;;;;;
6605;11/08/2023;EBO 0I79;REDETUKAS;492319;DIESEL;DIESEL;330;;4,52;R$ 1.491,60;0,00;983,00;2,98;;;;;;;;;;;;
162408;11/08/2023;FZG 5A23;POSTO SCARIOT;134355;DIESEL;DIESEL;160,00;171,20;6,42;R$ 856,00;R$ 5,35;-506448,00;-3165,30;;;;;;;;;;;;
647804;11/08/2023;PVD 2450;DOM PEDRO POUSO ALEGRE;641273;DIESEL;DIESEL;79,011;;4,89;386,36;R$ 4,89;352042,00;4455,61;;;;;;;;;;;;
Ajuste M.;11/08/2023;PZA 3995;;289870;;GASOLINA;41,00;;;R$ 0,00;R$ 0,00;-351403,00;-8570,80;;;;;;;;;;;;
Ajuste M.;11/08/2023;PZE 8684;;378392;;DIESEL;124,00;;;R$ 0,00;R$ 0,00;158662,00;1279,53;;;;;;;;;;;;
6605;11/08/2023;QMQ 5351;REDETUKAS;365126;DIESEL;DIESEL;90,00;;4,90;441,00;R$ 4,90;224,00;2,49;;;;;;;;;;;;
6605;11/08/2023;QPA 8450;REDETUKAS;321230;DIESEL;DIESEL;77,00;;4,52;348,04;R$ 4,52;82401,00;1070,14;;;;;;;;;;;;
6605;11/08/2023;QQM 5087;REDETUKAS;265081;DIESEL;DIESEL;18,5;;4,52;R$ 83,62;R$ 4,52;131457,00;7105,78;;;;;;;;;;;;
Ajuste M.;12/08/2023;BPQ 3I53;;140293;;DIESEL;45,23;;;R$ 0,00;0,00;-896487,00;-19820,63;;;;;;;;;;;;
